neighbourhood_group,latitude,longitude,room_type,availability_365,minimum_nights,number_of_reviews,price
2,40.7403,-73.98498,0,201,2,70,269
2,40.80489,-73.94343,0,232,3,70,155
2,40.80489,-73.94287,1,258,1,70,60
1,40.66799,-73.98397,1,272,2,21,135
2,40.76193,-73.9501,1,341,7,17,120
2,40.72052,-73.98589,0,244,3,41,150
3,40.70411,-73.90781,0,365,14,1,140
1,40.73401,-73.95967,0,12,2,69,135
2,40.71756,-73.99503,0,265,4,18,250
2,40.7589,-73.96991,0,0,28,70,250
2,40.72003,-73.99669,0,329,4,70,269
2,40.73194,-73.99474,0,91,5,10,225
2,40.79163,-73.94573,0,365,28,70,125
2,40.80489,-73.94434,1,253,1,70,92
2,40.80489,-73.94707,1,365,2,1,175
2,40.72654,-73.98049,0,320,2,70,99
2,40.80021,-73.96071,0,0,4,4,195
2,40.80489,-73.93936,0,192,3,70,140
2,40.71961,-73.9954,0,0,2,21,135
2,40.74358,-73.99669,0,348,2,35,269
2,40.80335,-73.9575,1,0,14,10,80
2,40.71445,-73.9908,1,353,4,70,120
2,40.75749,-73.96897,0,140,28,70,110
1,40.66799,-73.9503,0,2,3,70,65
2,40.7268,-73.99079,0,56,28,56,130
1,40.688,-73.9171,0,68,3,70,99
4,40.66799,-73.99669,1,360,2,70,49
4,40.66799,-73.99669,1,0,2,70,49
4,40.66799,-73.99669,1,320,2,70,49
2,40.72477,-73.98161,0,326,3,70,175
2,40.74238,-73.99567,0,76,9,62,205
1,40.72945,-73.95511,0,279,3,70,269
1,40.70763,-73.95177,1,15,2,70,59
4,40.66799,-73.99669,1,340,2,70,49
3,40.75384,-73.91433,0,226,5,70,99
1,40.66799,-73.97426,1,365,1,45,49
1,40.66799,-73.98327,1,0,14,9,60
0,40.80489,-73.90781,1,349,2,1,90
0,40.80489,-73.90781,0,365,2,38,105
1,40.68236,-73.94314,0,11,2,70,135
2,40.72185,-73.98246,0,316,5,70,269
1,40.68503,-73.95385,1,281,3,36,70
2,40.80489,-73.9263,1,323,7,1,75
1,40.7069,-73.95467,1,362,17,14,60
2,40.72807,-73.98594,0,0,3,1,200
1,40.6778,-73.94339,1,301,3,70,100
1,40.68317,-73.94701,1,189,4,18,70
1,40.6761,-73.9529,1,0,6,50,110
1,40.67586,-73.95155,1,287,2,70,60
2,40.71702,-73.99669,0,14,14,1,90
2,40.72321,-73.98157,1,86,2,70,68
2,40.77956,-73.98098,0,261,2,70,115
1,40.68276,-73.95264,1,68,5,64,75
1,40.71368,-73.9626,1,0,3,1,60
2,40.72956,-73.98158,0,231,7,5,129
1,40.71069,-73.95175,0,152,10,49,130
1,40.70863,-73.94641,0,46,4,70,95
2,40.80489,-73.94307,1,364,3,20,75
1,40.67319,-73.97323,0,246,2,11,175
1,40.67846,-73.99443,0,288,3,51,190
1,40.6715,-73.94808,1,331,21,15,49
2,40.72681,-73.98534,0,51,3,67,212
2,40.71904,-73.99392,1,364,1,70,95
1,40.71031,-73.9583,0,254,2,9,140
2,40.80489,-73.95306,0,189,6,70,135
1,40.67732,-73.98225,0,263,2,70,150
1,40.68076,-73.9896,0,258,3,69,190
2,40.79603,-73.94903,0,103,28,22,124
1,40.71492,-73.96282,0,42,28,56,135
2,40.80393,-73.95838,1,246,3,70,122
2,40.80082,-73.9652,1,364,1,70,109
2,40.80489,-73.94867,1,318,28,64,85
1,40.683,-73.91981,0,72,3,70,145
2,40.78971,-73.9729,0,249,11,30,195
1,40.67817,-73.99495,0,272,2,70,250
1,40.73119,-73.95578,1,325,3,6,125
2,40.71943,-73.99627,0,298,2,70,269
2,40.78,-73.98249,0,35,28,48,150
1,40.70514,-73.91922,1,203,5,47,70
2,40.80489,-73.92811,1,132,2,70,90
2,40.73198,-73.98881,1,5,3,52,65
2,40.72542,-73.97986,0,297,2,48,269
2,40.80489,-73.93869,0,276,3,32,250
2,40.71659,-73.98945,0,102,25,43,125
2,40.72966,-73.99669,0,251,28,39,200
1,40.72898,-73.95552,0,188,1,50,229
0,40.80489,-73.90781,0,346,28,4,90
2,40.77728,-73.97818,0,0,13,38,110
1,40.72646,-73.95341,1,15,3,29,59
1,40.71015,-73.96101,0,71,4,59,195
1,40.71903,-73.9597,0,215,1,68,169
2,40.80489,-73.93985,0,253,14,26,113
2,40.80276,-73.9567,0,78,14,31,250
3,40.77635,-73.93426,0,257,2,70,115
1,40.72488,-73.95018,1,0,2,1,55
1,40.71398,-73.95763,1,8,2,70,69
2,40.71876,-73.98394,0,191,3,70,150
1,40.66799,-73.99019,0,182,2,70,169
1,40.73749,-73.95292,1,79,3,36,179
2,40.76248,-73.9913,1,49,3,36,150
1,40.68674,-73.98876,0,0,4,6,135
1,40.6848,-73.96219,0,156,6,14,269
1,40.70516,-73.95455,1,343,14,70,120
2,40.72329,-73.98486,1,200,2,70,71
1,40.73776,-73.95327,1,60,3,8,269
1,40.73738,-73.95482,1,60,3,7,269
1,40.67542,-73.98142,0,189,28,34,165
1,40.73842,-73.95312,1,60,3,2,249
1,40.6926,-73.99669,1,0,3,66,100
1,40.69441,-73.99669,0,106,3,70,200
2,40.72399,-73.98374,0,276,4,70,169
1,40.6824,-73.94615,0,248,3,46,185
1,40.68949,-73.91708,0,194,2,70,65
1,40.68819,-73.97258,0,135,28,5,130
1,40.7205,-73.96015,0,30,28,8,199
2,40.72451,-73.98094,0,0,2,33,225
1,40.73813,-73.95394,1,81,3,13,179
1,40.67591,-73.94715,0,0,5,5,150
2,40.72843,-73.98895,0,142,1,70,139
2,40.71271,-73.99669,1,60,3,70,95
1,40.66966,-73.94735,0,179,15,11,79
2,40.71965,-73.98766,0,52,2,70,150
1,40.68613,-73.96536,0,365,5,1,269
1,40.68048,-73.94911,0,324,3,70,90
1,40.68314,-73.93963,0,237,2,70,120
3,40.75961,-73.91117,1,365,1,42,80
1,40.67473,-73.94494,0,365,28,1,100
1,40.69305,-73.93185,0,204,2,70,175
1,40.67174,-73.95663,0,272,5,70,120
1,40.71055,-73.95098,0,0,7,13,140
1,40.69465,-73.95458,0,9,5,4,200
1,40.68413,-73.96542,1,365,4,11,165
2,40.73877,-73.97707,0,181,4,1,125
2,40.74893,-73.99544,0,189,28,19,130
2,40.79406,-73.94102,2,0,7,70,65
1,40.68795,-73.97332,0,189,28,15,123
2,40.80489,-73.93361,1,296,2,70,67
3,40.72413,-73.90781,1,88,1,43,50
1,40.66918,-73.99187,0,35,7,70,130
1,40.71125,-73.95613,1,0,3,31,100
2,40.78558,-73.9696,0,35,21,45,212
1,40.71577,-73.96053,0,359,3,70,190
1,40.73861,-73.95485,1,60,3,9,269
2,40.72577,-73.98745,0,365,5,70,249
3,40.66799,-73.90781,1,335,27,13,70
1,40.67086,-73.94872,0,282,28,15,100
2,40.80489,-73.95231,1,247,3,70,60
1,40.68505,-73.95684,0,102,2,70,135
1,40.72911,-73.95493,0,274,3,70,175
2,40.77944,-73.98567,0,201,5,49,120
2,40.74503,-73.98876,0,98,18,54,169
1,40.67539,-73.96093,0,157,7,3,165
2,40.80489,-73.95189,1,0,1,1,90
2,40.78491,-73.9508,0,312,2,56,225
1,40.69088,-73.97307,1,331,2,70,95
1,40.67555,-73.95057,1,275,2,70,55
2,40.75835,-73.99193,1,174,10,70,85
1,40.66799,-73.9886,0,223,14,27,199
2,40.71895,-73.99434,0,361,1,52,211
2,40.75579,-73.96699,0,0,6,39,145
2,40.80489,-73.95328,1,283,14,35,65
2,40.80489,-73.94095,0,220,1,70,99
3,40.76434,-73.92132,0,363,4,30,110
1,40.67705,-73.94925,0,315,3,70,80
1,40.69263,-73.99438,0,281,28,70,150
1,40.68448,-73.92747,0,283,4,70,110
2,40.74412,-73.99669,1,20,2,35,269
2,40.73067,-73.98702,1,0,2,1,87
1,40.70665,-73.94061,0,331,4,50,190
1,40.72063,-73.95952,0,36,2,29,200
1,40.67644,-73.98082,0,7,2,23,165
2,40.80481,-73.94794,0,301,2,70,110
2,40.72533,-73.99143,0,170,2,70,269
1,40.68569,-73.93038,1,307,2,38,99
1,40.66799,-73.97255,1,365,1,70,49
2,40.72939,-73.98857,0,201,2,70,189
2,40.79918,-73.96607,1,0,1,3,85
1,40.66862,-73.9926,0,316,28,3,260
2,40.80489,-73.94453,0,271,1,70,122
1,40.72473,-73.95199,0,139,2,70,165
3,40.70925,-73.90781,0,209,3,28,97
2,40.73215,-73.99669,0,0,4,24,170
1,40.71109,-73.94332,0,0,2,15,125
2,40.7463,-73.97926,1,193,4,70,130
1,40.71823,-73.95849,0,52,10,22,225
1,40.66799,-73.94886,1,136,2,70,50
1,40.68626,-73.97598,0,286,3,70,170
2,40.74488,-73.99669,0,0,4,10,132
1,40.67632,-73.97616,0,18,7,18,250
1,40.72212,-73.94254,0,9,5,8,141
1,40.67456,-73.95151,0,3,20,70,64
1,40.71363,-73.96019,0,277,3,70,249
1,40.6755,-73.95878,1,0,2,70,79
2,40.72274,-73.97581,0,233,2,69,185
1,40.6858,-73.9828,0,221,3,70,120
1,40.67535,-73.97654,0,355,1,35,269
2,40.72255,-73.99346,0,0,3,18,269
2,40.72094,-73.99669,0,277,3,68,175
2,40.72485,-73.97813,0,0,4,22,150
2,40.80473,-73.9532,0,343,8,17,259
2,40.72217,-73.98419,1,0,1,34,96
1,40.71943,-73.9565,0,0,7,8,145
2,40.74249,-73.99669,0,0,4,1,200
2,40.79264,-73.97294,0,0,5,2,95
1,40.66799,-73.97675,0,188,4,52,250
2,40.80474,-73.94688,0,264,2,70,269
2,40.72831,-73.99669,0,0,3,18,175
1,40.71541,-73.94144,0,331,2,70,269
2,40.79765,-73.96245,0,236,2,70,165
2,40.78508,-73.95332,0,0,4,1,250
0,40.80489,-73.90781,0,309,1,70,77
2,40.72008,-73.98404,0,0,4,19,250
3,40.75725,-73.91098,0,245,1,70,129
1,40.7102,-73.94495,1,0,2,8,98
1,40.67359,-73.97904,0,8,2,1,150
2,40.72674,-73.9782,1,359,7,25,95
2,40.80489,-73.94571,1,333,3,70,55
2,40.80489,-73.95016,0,258,2,70,269
3,40.7385,-73.91806,1,236,28,53,49
1,40.72937,-73.95671,0,22,2,70,125
2,40.72587,-73.98438,1,236,3,70,175
2,40.80489,-73.9463,1,365,3,38,75
1,40.71624,-73.96272,0,89,28,39,255
1,40.68101,-73.94081,0,164,28,70,72
1,40.68669,-73.91989,1,311,1,27,165
1,40.71534,-73.95914,0,23,5,70,165
1,40.68288,-73.96024,1,365,3,43,75
1,40.72489,-73.95494,0,0,5,4,130
1,40.70867,-73.94284,0,222,2,70,139
1,40.67963,-73.93908,1,238,1,64,88
1,40.6798,-73.93908,1,218,1,39,80
2,40.74346,-73.99669,1,0,2,37,150
2,40.77724,-73.98109,0,0,3,10,200
2,40.72972,-73.97995,0,235,2,70,200
3,40.74102,-73.91681,1,246,28,41,49
1,40.71309,-73.94128,1,0,6,3,90
2,40.80489,-73.94633,0,247,3,70,269
1,40.71323,-73.95745,0,15,5,37,269
1,40.67212,-73.9506,0,119,2,29,130
1,40.71023,-73.96665,1,0,3,70,89
2,40.80489,-73.95139,0,234,5,42,198
2,40.72636,-73.98917,0,257,2,70,99
1,40.72185,-73.93956,1,350,4,70,49
2,40.72351,-73.99669,1,221,2,54,140
1,40.6809,-73.99233,0,0,7,7,269
2,40.80489,-73.95916,1,201,5,57,75
3,40.74,-73.91901,1,161,28,31,49
2,40.80006,-73.96049,0,259,28,70,250
1,40.70283,-73.92131,1,0,3,70,60
2,40.80489,-73.94303,1,222,2,34,75
1,40.68252,-73.99619,0,0,5,6,269
2,40.74342,-73.99483,0,76,9,3,205
1,40.67853,-73.98089,0,0,5,2,219
1,40.6788,-73.97643,1,258,1,20,60
2,40.77886,-73.98042,0,14,2,70,185
2,40.72578,-73.97879,0,27,3,70,190
1,40.66799,-73.98537,0,167,28,70,105
2,40.80113,-73.94503,0,68,2,11,250
2,40.78569,-73.97581,0,358,28,11,175
2,40.80489,-73.94934,1,59,2,41,65
1,40.68131,-73.95332,0,0,2,70,75
0,40.80489,-73.90781,1,232,4,70,49
1,40.70667,-73.96524,0,15,2,70,85
1,40.66799,-73.97103,0,0,7,1,106
2,40.7932,-73.94007,0,0,2,15,79
1,40.68768,-73.97611,1,161,2,35,85
2,40.80224,-73.94558,1,88,2,17,170
2,40.71473,-73.98842,1,337,3,3,115
2,40.80489,-73.95359,1,247,5,43,89
2,40.80489,-73.95329,2,248,3,70,49
1,40.72901,-73.95812,1,287,3,70,91
2,40.73476,-73.98452,0,304,2,70,269
1,40.69055,-73.92357,0,0,2,11,150
2,40.7735,-73.98697,0,0,28,30,269
1,40.67505,-73.95969,0,193,3,31,97
2,40.72974,-73.98201,1,43,4,49,100
1,40.70925,-73.95425,0,25,4,23,179
1,40.72315,-73.95226,0,127,2,20,269
2,40.73939,-73.99612,0,0,10,18,269
2,40.74112,-73.97686,0,303,6,70,189
2,40.72019,-73.98217,1,345,2,70,120
2,40.72133,-73.99666,0,115,1,6,269
3,40.75744,-73.92163,0,200,28,21,107
3,40.75695,-73.9202,0,271,28,24,95
2,40.80489,-73.94651,0,12,2,70,199
2,40.79056,-73.9468,0,268,2,70,120
2,40.73631,-73.99669,0,89,15,66,199
0,40.80489,-73.90781,0,347,2,70,125
1,40.71312,-73.96199,1,37,2,70,70
1,40.71297,-73.94336,1,0,4,70,75
2,40.73712,-73.99669,1,359,28,5,100
1,40.69242,-73.95097,0,287,2,70,99
2,40.73862,-73.99669,0,0,1,2,250
1,40.7158,-73.95803,0,233,6,1,269
1,40.68262,-73.97299,0,129,3,67,170
2,40.73217,-73.98801,0,0,1,63,165
2,40.76311,-73.99388,1,353,1,70,99
2,40.74695,-73.99669,1,365,4,1,255
1,40.67497,-73.90781,0,297,3,70,169
1,40.66799,-73.94813,0,56,4,70,99
2,40.76684,-73.95944,0,44,7,39,169
1,40.68967,-73.95445,0,355,3,42,160
1,40.67946,-73.96501,0,156,3,33,215
1,40.66944,-73.98083,0,273,3,70,130
2,40.72566,-73.97748,1,274,3,70,110
2,40.7709,-73.99181,1,258,28,43,150
1,40.71943,-73.95958,1,276,28,52,65
3,40.74249,-73.92466,1,65,2,70,75
2,40.74033,-73.99669,0,0,6,23,149
2,40.7969,-73.96128,1,180,6,35,89
2,40.80489,-73.94553,1,343,1,70,50
1,40.66799,-73.95641,1,43,1,70,49
1,40.66799,-73.95539,1,96,1,70,49
1,40.70275,-73.94501,1,59,1,46,85
1,40.68897,-73.93569,0,255,3,70,139
1,40.67617,-73.98136,1,252,1,70,105
1,40.67595,-73.98053,0,0,5,15,265
2,40.76415,-73.99067,0,20,1,70,149
2,40.80489,-73.94718,1,188,2,70,68
1,40.68497,-73.95592,0,304,3,70,99
2,40.80489,-73.94174,1,38,3,50,75
1,40.71137,-73.94362,1,254,2,70,100
2,40.76739,-73.9557,2,0,1,1,90
2,40.73089,-73.98195,0,46,28,25,160
1,40.6755,-73.97859,0,328,4,70,190
1,40.68812,-73.94934,1,0,4,70,67
2,40.7694,-73.9572,0,0,1,8,190
1,40.68634,-73.96161,0,199,2,58,248
1,40.7093,-73.9497,1,249,6,8,100
2,40.713,-73.99669,1,64,3,70,95
2,40.75895,-73.9883,1,111,1,70,150
1,40.68186,-73.94113,0,287,3,70,145
1,40.68364,-73.91076,1,286,2,55,49
1,40.71893,-73.9428,0,263,4,70,120
0,40.80489,-73.92039,1,276,3,70,50
1,40.68765,-73.97073,0,0,2,4,157
1,40.71413,-73.96596,0,263,14,31,195
1,40.66799,-73.94079,0,90,4,70,70
1,40.71973,-73.95582,0,0,3,14,185
1,40.69025,-73.93323,0,11,3,30,145
3,40.73826,-73.92458,1,287,28,70,50
1,40.73049,-73.96115,0,1,3,70,185
2,40.72956,-73.97903,0,0,1,60,250
2,40.73854,-73.99669,1,338,28,9,80
2,40.75877,-73.98863,0,44,2,70,230
1,40.67688,-73.9859,0,0,7,9,100
1,40.70051,-73.92204,1,5,1,1,49
2,40.71712,-73.98898,1,0,28,25,200
4,40.66799,-73.99669,1,158,2,2,80
1,40.68741,-73.95741,1,192,3,70,79
3,40.75627,-73.9211,0,358,28,24,95
2,40.79816,-73.9619,0,31,2,45,269
1,40.66799,-73.99669,0,241,28,7,100
2,40.80489,-73.95208,1,285,7,19,80
1,40.66799,-73.99399,0,183,1,24,110
1,40.68275,-73.96148,0,189,4,8,172
2,40.71813,-73.98416,0,162,1,29,199
2,40.71892,-73.98401,0,158,1,14,199
2,40.80489,-73.95545,1,84,1,33,100
2,40.80489,-73.95153,1,260,4,70,55
1,40.68634,-73.95088,1,0,3,59,75
2,40.72229,-73.97901,0,166,3,70,146
2,40.72956,-73.99287,1,0,2,1,250
1,40.72595,-73.95298,0,335,28,22,116
2,40.71193,-73.99669,1,90,3,70,150
1,40.68012,-73.97847,1,342,2,23,120
2,40.74233,-73.99669,0,28,4,32,199
1,40.67424,-73.96665,0,363,5,24,150
2,40.80486,-73.95298,1,86,1,59,69
2,40.80307,-73.95048,1,83,28,6,269
1,40.68653,-73.98562,0,0,4,18,230
2,40.74267,-73.98569,0,0,4,3,125
1,40.68749,-73.95494,1,264,3,70,79
1,40.68645,-73.97538,1,305,3,70,130
1,40.68999,-73.96711,1,356,1,70,239
4,40.66799,-73.99669,0,278,6,70,75
1,40.71126,-73.94576,0,135,3,70,220
1,40.67855,-73.94949,0,308,3,70,80
2,40.72416,-73.9853,0,229,2,70,269
1,40.68516,-73.92521,0,273,4,70,135
2,40.73507,-73.99669,0,83,3,13,225
2,40.71611,-73.99669,1,281,28,59,110
